Loaded module: cuda/11.7

[INFO] Training with fixed encoder_seed=12

[INFO] Rerun 0: Reinitializing decoders
Epoch   1 | Train: 300.6742 | Val: 337.5855
Epoch  11 | Train: 160.2205 | Val: 164.6545
Epoch  21 | Train: 157.2791 | Val: 158.0294
Epoch  31 | Train: 155.9086 | Val: 155.1507
Epoch  41 | Train: 153.3179 | Val: 152.5818
Epoch  51 | Train: 150.9722 | Val: 150.1904
Epoch  61 | Train: 148.5766 | Val: 147.8574
Epoch  71 | Train: 146.7272 | Val: 146.0650
Epoch  81 | Train: 145.1707 | Val: 144.5159
Epoch  91 | Train: 143.5967 | Val: 143.0568
Epoch 101 | Train: 142.1408 | Val: 141.7942
Epoch 111 | Train: 141.0376 | Val: 140.8892
Epoch 121 | Train: 140.1375 | Val: 140.1682
Epoch 131 | Train: 139.3637 | Val: 139.1150
Epoch 141 | Train: 138.6903 | Val: 138.6405
Epoch 151 | Train: 138.0809 | Val: 138.1346
Epoch 161 | Train: 137.5691 | Val: 137.6249
Epoch 171 | Train: 137.1710 | Val: 137.1620
Epoch 181 | Train: 136.6882 | Val: 136.5199
Epoch 191 | Train: 136.2538 | Val: 136.1836
Epoch 200 | Train: 135.9430 | Val: 135.8897

[INFO] Rerun 1: Reinitializing decoders
Epoch   1 | Train: 324.3841 | Val: 271.2964
Epoch  11 | Train: 162.0665 | Val: 166.0487
Epoch  21 | Train: 158.2946 | Val: 159.0243
Epoch  31 | Train: 156.7482 | Val: 155.8140
Epoch  41 | Train: 154.1411 | Val: 153.1558
Epoch  51 | Train: 151.6533 | Val: 150.8457
Epoch  61 | Train: 149.7275 | Val: 148.8087
Epoch  71 | Train: 147.2751 | Val: 146.6672
Epoch  81 | Train: 144.9926 | Val: 144.4659
Epoch  91 | Train: 143.5606 | Val: 143.2287
Epoch 101 | Train: 142.4140 | Val: 142.1086
Epoch 111 | Train: 141.4628 | Val: 141.4397
Epoch 121 | Train: 140.5667 | Val: 140.3730
Epoch 131 | Train: 139.7249 | Val: 139.7291
Epoch 141 | Train: 139.1876 | Val: 139.0442
Epoch 151 | Train: 138.5012 | Val: 138.5752
Epoch 161 | Train: 138.1149 | Val: 138.0486
Epoch 171 | Train: 137.5066 | Val: 137.6215
Epoch 181 | Train: 137.0842 | Val: 137.2777
Epoch 191 | Train: 136.7462 | Val: 136.8782
Epoch 200 | Train: 136.3485 | Val: 136.6378

[INFO] Rerun 2: Reinitializing decoders
Epoch   1 | Train: 344.8913 | Val: 317.1813
Epoch  11 | Train: 165.9042 | Val: 169.9148
Epoch  21 | Train: 160.7886 | Val: 161.3730
Epoch  31 | Train: 159.3194 | Val: 158.1129
Epoch  41 | Train: 156.0155 | Val: 155.5333
Epoch  51 | Train: 152.8042 | Val: 151.7618
Epoch  61 | Train: 150.2283 | Val: 149.5539
Epoch  71 | Train: 148.4862 | Val: 147.7761
Epoch  81 | Train: 147.2069 | Val: 146.8507
Epoch  91 | Train: 145.7566 | Val: 145.2921
Epoch 101 | Train: 144.4826 | Val: 144.0763
Epoch 111 | Train: 143.3803 | Val: 143.0967
Epoch 121 | Train: 142.2813 | Val: 142.0315
Epoch 131 | Train: 141.3298 | Val: 141.1559
Epoch 141 | Train: 140.4700 | Val: 140.3194
