Loaded module: cuda/11.7
Running optimization for model_seed12.pt with entropy init
[INFO] Device: cuda
[INFO] Automatically using spline: experiment/splines_init_model_seed12/spline_batch_init_entropy_133.pt
[DEBUG] Loaded model: experiment/model_seed12.pt
[CHECK] All decoders identical? False
Decoders are (at least slightly) diverse.
[INFO] Optimizing 8777 splines (n_poly=4, K=5)
Batched optimization:   0%|          | 0/9 [00:00<?, ?it/s]Batched optimization:  11%|█         | 1/9 [12:10<1:37:21, 730.19s/it]Batched optimization:  22%|██▏       | 2/9 [24:19<1:25:07, 729.63s/it]Batched optimization:  33%|███▎      | 3/9 [36:27<1:12:53, 728.95s/it]Batched optimization:  44%|████▍     | 4/9 [48:35<1:00:42, 728.52s/it]Batched optimization:  56%|█████▌    | 5/9 [1:00:42<48:32, 728.01s/it]Batched optimization:  67%|██████▋   | 6/9 [1:12:51<36:24, 728.25s/it]Batched optimization:  78%|███████▊  | 7/9 [1:24:59<24:16, 728.25s/it]Batched optimization:  89%|████████▉ | 8/9 [1:37:08<12:08, 728.46s/it]Batched optimization: 100%|██████████| 9/9 [1:46:32<00:00, 677.21s/it]Batched optimization: 100%|██████████| 9/9 [1:46:32<00:00, 710.33s/it]
[BATCH] Batch 1/9: optimizing splines [0:1000]
[Step 0] Mean Energy: 179921.8281
[Step 50] Mean Energy: 173023.3438
[Step 100] Mean Energy: 167977.9219
[Step 150] Mean Energy: 163729.5625
[Step 200] Mean Energy: 159837.9062
[Step 250] Mean Energy: 156563.5312
[Step 300] Mean Energy: 153620.2344
[Step 350] Mean Energy: 150937.7500
[Step 400] Mean Energy: 148486.3438
[Step 450] Mean Energy: 146338.5000
[Step 500] Mean Energy: 144367.3281
[Step 550] Mean Energy: 142558.8281
[Step 600] Mean Energy: 140860.4375
[Step 650] Mean Energy: 139317.1250
[Step 700] Mean Energy: 137715.8125
[Step 750] Mean Energy: 136382.7969
[Step 800] Mean Energy: 135084.2031
[Step 850] Mean Energy: 133804.8750
[Step 900] Mean Energy: 132605.2031
[Step 950] Mean Energy: 131535.3906
[BATCH] Batch 2/9: optimizing splines [1000:2000]
[Step 0] Mean Energy: 121792.9141
[Step 50] Mean Energy: 117720.0078
[Step 100] Mean Energy: 114917.6406
[Step 150] Mean Energy: 112598.8359
[Step 200] Mean Energy: 110693.2344
[Step 250] Mean Energy: 108903.8594
[Step 300] Mean Energy: 107224.5625
[Step 350] Mean Energy: 105815.3438
[Step 400] Mean Energy: 104491.2344
[Step 450] Mean Energy: 103249.8516
[Step 500] Mean Energy: 102202.4688
[Step 550] Mean Energy: 101155.9531
[Step 600] Mean Energy: 100277.0469
[Step 650] Mean Energy: 99352.6094
[Step 700] Mean Energy: 98502.5156
[Step 750] Mean Energy: 97821.6172
[Step 800] Mean Energy: 97010.2578
[Step 850] Mean Energy: 96282.5156
[Step 900] Mean Energy: 95600.5312
[Step 950] Mean Energy: 94907.5547
[BATCH] Batch 3/9: optimizing splines [2000:3000]
[Step 0] Mean Energy: 122201.2031
[Step 50] Mean Energy: 118718.0547
[Step 100] Mean Energy: 116488.3594
[Step 150] Mean Energy: 114604.1484
[Step 200] Mean Energy: 112925.4609
[Step 250] Mean Energy: 111414.3125
[Step 300] Mean Energy: 110130.1250
[Step 350] Mean Energy: 108963.5547
[Step 400] Mean Energy: 107776.4219
[Step 450] Mean Energy: 106777.6875
[Step 500] Mean Energy: 105784.7188
[Step 550] Mean Energy: 104872.5625
[Step 600] Mean Energy: 104074.5781
[Step 650] Mean Energy: 103158.9844
[Step 700] Mean Energy: 102388.0312
[Step 750] Mean Energy: 101583.3125
