Loaded module: cuda/11.7
Running optimization for model_seed12.pt with euclidean init
[INFO] Device: cuda
[INFO] Automatically using spline: experiment/splines_init_model_seed12/spline_batch_init_euclidean_133.pt
[DEBUG] Loaded model: experiment/model_seed12.pt
[CHECK] All decoders identical? False
Decoders are (at least slightly) diverse.
[INFO] Optimizing 8777 splines (n_poly=4, K=5)
Batched optimization:   0%|          | 0/9 [00:00<?, ?it/s]Batched optimization:  11%|█         | 1/9 [12:11<1:37:35, 731.98s/it]Batched optimization:  22%|██▏       | 2/9 [24:21<1:25:13, 730.43s/it]Batched optimization:  33%|███▎      | 3/9 [36:29<1:12:55, 729.29s/it]Batched optimization:  44%|████▍     | 4/9 [48:37<1:00:45, 729.02s/it]Batched optimization:  56%|█████▌    | 5/9 [1:00:45<48:33, 728.37s/it]Batched optimization:  67%|██████▋   | 6/9 [1:12:54<36:26, 728.73s/it]Batched optimization:  78%|███████▊  | 7/9 [1:25:02<24:17, 728.55s/it]Batched optimization:  89%|████████▉ | 8/9 [1:37:11<12:08, 728.66s/it]Batched optimization: 100%|██████████| 9/9 [1:46:36<00:00, 677.33s/it]Batched optimization: 100%|██████████| 9/9 [1:46:36<00:00, 710.67s/it]
[BATCH] Batch 1/9: optimizing splines [0:1000]
[Step 0] Mean Energy: 294127.4375
[Step 50] Mean Energy: 269969.0312
[Step 100] Mean Energy: 251371.9219
[Step 150] Mean Energy: 237747.7500
[Step 200] Mean Energy: 227130.7500
[Step 250] Mean Energy: 218918.4219
[Step 300] Mean Energy: 212155.9688
[Step 350] Mean Energy: 206371.5312
[Step 400] Mean Energy: 201536.8906
[Step 450] Mean Energy: 197263.2656
[Step 500] Mean Energy: 193569.3750
[Step 550] Mean Energy: 190248.3438
[Step 600] Mean Energy: 187286.9844
[Step 650] Mean Energy: 184621.5469
[Step 700] Mean Energy: 182007.1406
[Step 750] Mean Energy: 179627.4062
[Step 800] Mean Energy: 177538.0625
[Step 850] Mean Energy: 175322.7188
[Step 900] Mean Energy: 173554.2812
[Step 950] Mean Energy: 171756.1094
[BATCH] Batch 2/9: optimizing splines [1000:2000]
[Step 0] Mean Energy: 223587.4219
[Step 50] Mean Energy: 204939.6719
[Step 100] Mean Energy: 188894.1875
[Step 150] Mean Energy: 175891.5000
[Step 200] Mean Energy: 165633.2969
[Step 250] Mean Energy: 157198.1562
[Step 300] Mean Energy: 150606.2188
[Step 350] Mean Energy: 145579.3438
[Step 400] Mean Energy: 141239.9688
[Step 450] Mean Energy: 137597.9844
[Step 500] Mean Energy: 134496.2969
[Step 550] Mean Energy: 131835.0000
[Step 600] Mean Energy: 129516.7891
[Step 650] Mean Energy: 127395.8750
[Step 700] Mean Energy: 125403.6094
[Step 750] Mean Energy: 123841.2031
[Step 800] Mean Energy: 122208.9453
[Step 850] Mean Energy: 120742.9375
[Step 900] Mean Energy: 119520.7734
[Step 950] Mean Energy: 118274.1016
[BATCH] Batch 3/9: optimizing splines [2000:3000]
[Step 0] Mean Energy: 222139.4375
[Step 50] Mean Energy: 206813.0938
[Step 100] Mean Energy: 193246.3438
[Step 150] Mean Energy: 181830.7656
[Step 200] Mean Energy: 172279.2344
[Step 250] Mean Energy: 164199.6250
[Step 300] Mean Energy: 158098.7031
[Step 350] Mean Energy: 153118.4688
[Step 400] Mean Energy: 148876.4688
[Step 450] Mean Energy: 145411.5781
[Step 500] Mean Energy: 142216.4219
[Step 550] Mean Energy: 139372.5156
[Step 600] Mean Energy: 137057.3125
[Step 650] Mean Energy: 134698.3906
[Step 700] Mean Energy: 132645.1719
[Step 750] Mean Energy: 130679.3828
