Loaded module: cuda/11.7

[INFO] Training with fixed encoder_seed=12

[INFO] Rerun 0: Reinitializing decoders
Epoch   1 | Train: 300.6742 | Val: 337.5855
Epoch  11 | Train: 160.2205 | Val: 164.6545
Epoch  21 | Train: 157.2791 | Val: 158.0294
Epoch  31 | Train: 155.9086 | Val: 155.1507
Epoch  41 | Train: 153.3179 | Val: 152.5818
Epoch  51 | Train: 150.9722 | Val: 150.1904
Epoch  61 | Train: 148.5766 | Val: 147.8574
Epoch  71 | Train: 146.7272 | Val: 146.0650
Epoch  81 | Train: 145.1707 | Val: 144.5159
Epoch  91 | Train: 143.5967 | Val: 143.0568
Epoch 100 | Train: 142.2787 | Val: 141.8372

[INFO] Rerun 1: Reinitializing decoders
Epoch   1 | Train: 323.3196 | Val: 278.4010
Epoch  11 | Train: 166.8552 | Val: 170.9580
Epoch  21 | Train: 160.4040 | Val: 161.2193
Epoch  31 | Train: 157.9328 | Val: 157.1467
Epoch  41 | Train: 154.3760 | Val: 153.7219
Epoch  51 | Train: 151.5570 | Val: 150.8188
Epoch  61 | Train: 149.8366 | Val: 149.1681
Epoch  71 | Train: 148.3342 | Val: 147.8589
Epoch  81 | Train: 146.9843 | Val: 146.5772
Epoch  91 | Train: 145.6032 | Val: 145.3973
Epoch 100 | Train: 144.5143 | Val: 144.1519

[INFO] Rerun 2: Reinitializing decoders
Epoch   1 | Train: 337.3997 | Val: 294.4983
Epoch  11 | Train: 159.8375 | Val: 164.2875
Epoch  21 | Train: 156.7926 | Val: 157.5812
Epoch  31 | Train: 154.8844 | Val: 153.9966
Epoch  41 | Train: 151.4272 | Val: 150.7758
Epoch  51 | Train: 149.2476 | Val: 148.6014
Epoch  61 | Train: 147.6457 | Val: 146.9351
Epoch  71 | Train: 146.1342 | Val: 145.5985
Epoch  81 | Train: 144.5431 | Val: 144.1611
Epoch  91 | Train: 143.2830 | Val: 143.0928
Epoch 100 | Train: 142.2518 | Val: 142.2131
