Loaded module: cuda/11.7

[INFO] Using global_seed=12

[INFO] Training EVAE: decoders=1, rerun=0
Epoch   1 | Train: 253.3196 | Val: 401.5848
Epoch  11 | Train: 155.0432 | Val: 158.5853
Epoch  21 | Train: 149.6480 | Val: 150.4515
Epoch  31 | Train: 145.1885 | Val: 144.8356
Epoch  41 | Train: 142.3070 | Val: 142.2160
Epoch  51 | Train: 140.2836 | Val: 140.1247
Epoch  61 | Train: 138.2882 | Val: 138.3967
Epoch  71 | Train: 137.1189 | Val: 137.0971
Epoch  81 | Train: 135.9624 | Val: 136.1946
Epoch  91 | Train: 135.1877 | Val: 135.5989
Epoch 100 | Train: 134.7181 | Val: 135.0708

[INFO] Training EVAE: decoders=1, rerun=1
Epoch   1 | Train: 261.0238 | Val: 283.8604
Epoch  11 | Train: 155.4257 | Val: 158.9808
Epoch  21 | Train: 147.4982 | Val: 148.8615
Epoch  31 | Train: 144.9236 | Val: 144.5138
Epoch  41 | Train: 141.3956 | Val: 141.3751
Epoch  51 | Train: 139.2252 | Val: 139.1076
Epoch  61 | Train: 137.7290 | Val: 137.7097
Epoch  71 | Train: 136.8366 | Val: 136.9474
Epoch  81 | Train: 135.8131 | Val: 136.0082
Epoch  91 | Train: 135.1216 | Val: 135.1919
Epoch 100 | Train: 134.9112 | Val: 135.1736

[INFO] Training EVAE: decoders=1, rerun=2
Epoch   1 | Train: 236.6046 | Val: 350.6499
Epoch  11 | Train: 152.5970 | Val: 156.1835
Epoch  21 | Train: 148.4817 | Val: 149.2434
Epoch  31 | Train: 145.0753 | Val: 144.4450
Epoch  41 | Train: 142.3071 | Val: 141.7580
Epoch  51 | Train: 140.0583 | Val: 139.8962
Epoch  61 | Train: 138.4689 | Val: 138.4067
Epoch  71 | Train: 137.5847 | Val: 137.3660
Epoch  81 | Train: 136.7749 | Val: 137.1142
Epoch  91 | Train: 136.0204 | Val: 136.5396
Epoch 100 | Train: 135.4401 | Val: 135.4557

[INFO] Training EVAE: decoders=1, rerun=3
Epoch   1 | Train: 235.2667 | Val: 381.7688
Epoch  11 | Train: 153.4051 | Val: 157.1007
Epoch  21 | Train: 148.2109 | Val: 149.4122
Epoch  31 | Train: 145.6202 | Val: 144.6654
Epoch  41 | Train: 142.1729 | Val: 141.7276
Epoch  51 | Train: 139.5033 | Val: 139.5022
Epoch  61 | Train: 137.9517 | Val: 138.0413
Epoch  71 | Train: 136.9937 | Val: 136.9352
Epoch  81 | Train: 136.2283 | Val: 136.2773
Epoch  91 | Train: 135.4670 | Val: 135.5159
Epoch 100 | Train: 134.8264 | Val: 135.3175

[INFO] Training EVAE: decoders=1, rerun=4
Epoch   1 | Train: 233.4894 | Val: 355.9560
Epoch  11 | Train: 151.0734 | Val: 154.8628
Epoch  21 | Train: 145.6175 | Val: 146.6637
Epoch  31 | Train: 143.1808 | Val: 142.8106
Epoch  41 | Train: 140.4352 | Val: 139.8938
Epoch  51 | Train: 138.6490 | Val: 138.5708
Epoch  61 | Train: 137.2743 | Val: 137.1852
Epoch  71 | Train: 136.1299 | Val: 136.0586
Epoch  81 | Train: 135.0912 | Val: 135.6233
Epoch  91 | Train: 134.3921 | Val: 134.8597
Epoch 100 | Train: 133.8122 | Val: 134.2426

[INFO] Training EVAE: decoders=1, rerun=5
Epoch   1 | Train: 253.4279 | Val: 310.5212
Epoch  11 | Train: 154.1213 | Val: 157.2545
