Loaded module: cuda/11.7

[INFO] Optimizing splines for rerun=0, decoder=0
  Step 0 | Energy: 68.6382
  Step 100 | Energy: 63.3282
  Step 200 | Energy: 58.4648
  Step 300 | Energy: 54.3741
  Step 400 | Energy: 50.8964
  Step 500 | Energy: 48.0036
  Step 600 | Energy: 45.6835
  Step 700 | Energy: 43.8258
  Step 800 | Energy: 42.2638
  Step 900 | Energy: 40.9982
[OK] Saved: src/artifacts/ensemble/spline_ensemble_optimized_seed12_p10_rerun0_dec0.pt | 45 splines

[INFO] Optimizing splines for rerun=1, decoder=0
  Step 0 | Energy: 74.4905
  Step 100 | Energy: 65.4367
  Step 200 | Energy: 58.3419
  Step 300 | Energy: 52.8872
  Step 400 | Energy: 48.4882
  Step 500 | Energy: 45.2720
  Step 600 | Energy: 43.0597
  Step 700 | Energy: 41.4231
  Step 800 | Energy: 40.1021
  Step 900 | Energy: 38.8878
[OK] Saved: src/artifacts/ensemble/spline_ensemble_optimized_seed12_p10_rerun1_dec0.pt | 44 splines

[INFO] Optimizing splines for rerun=2, decoder=0
  Step 0 | Energy: 59.6712
  Step 100 | Energy: 54.7152
  Step 200 | Energy: 50.1368
  Step 300 | Energy: 46.4355
  Step 400 | Energy: 43.6960
  Step 500 | Energy: 41.9962
  Step 600 | Energy: 40.8781
  Step 700 | Energy: 40.0559
  Step 800 | Energy: 39.3912
  Step 900 | Energy: 38.9355
[OK] Saved: src/artifacts/ensemble/spline_ensemble_optimized_seed12_p10_rerun2_dec0.pt | 45 splines

[INFO] Optimizing splines for rerun=3, decoder=0
  Step 0 | Energy: 61.8216
  Step 100 | Energy: 55.1985
  Step 200 | Energy: 49.5722
  Step 300 | Energy: 45.1633
  Step 400 | Energy: 41.7414
  Step 500 | Energy: 39.0465
  Step 600 | Energy: 36.9363
  Step 700 | Energy: 35.2907
  Step 800 | Energy: 34.0727
  Step 900 | Energy: 33.2634
[OK] Saved: src/artifacts/ensemble/spline_ensemble_optimized_seed12_p10_rerun3_dec0.pt | 45 splines

[INFO] Optimizing splines for rerun=4, decoder=0
  Step 0 | Energy: 74.9505
  Step 100 | Energy: 63.5296
  Step 200 | Energy: 56.2641
  Step 300 | Energy: 50.6864
  Step 400 | Energy: 46.9254
  Step 500 | Energy: 44.0993
  Step 600 | Energy: 41.9291
  Step 700 | Energy: 40.2249
  Step 800 | Energy: 38.8573
  Step 900 | Energy: 37.7789
[OK] Saved: src/artifacts/ensemble/spline_ensemble_optimized_seed12_p10_rerun4_dec0.pt | 45 splines

[INFO] Optimizing splines for rerun=5, decoder=0
  Step 0 | Energy: 100.0160
  Step 100 | Energy: 92.9860
  Step 200 | Energy: 88.0482
  Step 300 | Energy: 84.0649
  Step 400 | Energy: 80.9773
  Step 500 | Energy: 78.8212
  Step 600 | Energy: 76.8526
  Step 700 | Energy: 74.9252
  Step 800 | Energy: 73.4849
  Step 900 | Energy: 72.1766
[OK] Saved: src/artifacts/ensemble/spline_ensemble_optimized_seed12_p10_rerun5_dec0.pt | 44 splines

[INFO] Optimizing splines for rerun=6, decoder=0
  Step 0 | Energy: 40.9469
  Step 100 | Energy: 38.4565
  Step 200 | Energy: 37.3079
  Step 300 | Energy: 36.7862
  Step 400 | Energy: 36.4397
  Step 500 | Energy: 36.1739
  Step 600 | Energy: 35.9673
  Step 700 | Energy: 35.7942
  Step 800 | Energy: 35.6909
  Step 900 | Energy: 35.6209
[OK] Saved: src/artifacts/ensemble/spline_ensemble_optimized_seed12_p10_rerun6_dec0.pt | 45 splines

[INFO] Optimizing splines for rerun=7, decoder=0
  Step 0 | Energy: 48.1369
  Step 100 | Energy: 45.0707
  Step 200 | Energy: 42.7117
  Step 300 | Energy: 41.1940
  Step 400 | Energy: 40.1319
  Step 500 | Energy: 39.3513
  Step 600 | Energy: 38.7024
  Step 700 | Energy: 38.1422
  Step 800 | Energy: 37.5704
  Step 900 | Energy: 36.4960
[OK] Saved: src/artifacts/ensemble/spline_ensemble_optimized_seed12_p10_rerun7_dec0.pt | 45 splines

[INFO] Optimizing splines for rerun=8, decoder=0
  Step 0 | Energy: 75.8621
  Step 100 | Energy: 70.9886
  Step 200 | Energy: 65.8777
  Step 300 | Energy: 60.5899
  Step 400 | Energy: 55.1577
  Step 500 | Energy: 51.2194
  Step 600 | Energy: 49.3999
  Step 700 | Energy: 48.6133
  Step 800 | Energy: 48.2522
  Step 900 | Energy: 48.0867
[OK] Saved: src/artifacts/ensemble/spline_ensemble_optimized_seed12_p10_rerun8_dec0.pt | 45 splines

[INFO] Optimizing splines for rerun=9, decoder=0
  Step 0 | Energy: 46.2106
  Step 100 | Energy: 43.1995
  Step 200 | Energy: 41.4170
  Step 300 | Energy: 40.0919
  Step 400 | Energy: 39.0047
  Step 500 | Energy: 38.2887
  Step 600 | Energy: 37.9285
  Step 700 | Energy: 37.7327
  Step 800 | Energy: 37.6087
  Step 900 | Energy: 37.5252
[OK] Saved: src/artifacts/ensemble/spline_ensemble_optimized_seed12_p10_rerun9_dec0.pt | 45 splines

[INFO] Optimizing splines for rerun=0, decoder=0
  Step 0 | Energy: 34.8112
  Step 100 | Energy: 30.8389
  Step 200 | Energy: 28.0189
  Step 300 | Energy: 26.0368
  Step 400 | Energy: 24.7138
  Step 500 | Energy: 23.8237
  Step 600 | Energy: 23.2343
  Step 700 | Energy: 22.8066
  Step 800 | Energy: 22.5135
  Step 900 | Energy: 22.2810
[OK] Saved: src/artifacts/ensemble/spline_ensemble_optimized_seed12_p10_rerun0_dec0.pt | 45 splines

[INFO] Optimizing splines for rerun=0, decoder=1
  Step 0 | Energy: 39.0274
  Step 100 | Energy: 35.1766
  Step 200 | Energy: 32.2436
  Step 300 | Energy: 30.0188
  Step 400 | Energy: 28.3090
  Step 500 | Energy: 27.0940
  Step 600 | Energy: 26.2903
  Step 700 | Energy: 25.7300
  Step 800 | Energy: 25.2930
  Step 900 | Energy: 24.9442
[OK] Saved: src/artifacts/ensemble/spline_ensemble_optimized_seed12_p10_rerun0_dec1.pt | 45 splines

[INFO] Optimizing splines for rerun=1, decoder=0
  Step 0 | Energy: 46.1991
  Step 100 | Energy: 42.1395
  Step 200 | Energy: 38.6796
  Step 300 | Energy: 35.8060
  Step 400 | Energy: 33.5029
  Step 500 | Energy: 31.6787
  Step 600 | Energy: 30.3259
  Step 700 | Energy: 29.2858
  Step 800 | Energy: 28.4423
  Step 900 | Energy: 27.7934
[OK] Saved: src/artifacts/ensemble/spline_ensemble_optimized_seed12_p10_rerun1_dec0.pt | 44 splines

[INFO] Optimizing splines for rerun=1, decoder=1
  Step 0 | Energy: 40.6333
  Step 100 | Energy: 36.9341
  Step 200 | Energy: 34.0272
  Step 300 | Energy: 31.6915
  Step 400 | Energy: 29.7176
  Step 500 | Energy: 28.1864
  Step 600 | Energy: 27.1767
  Step 700 | Energy: 26.3455
  Step 800 | Energy: 25.7051
  Step 900 | Energy: 25.3324
[OK] Saved: src/artifacts/ensemble/spline_ensemble_optimized_seed12_p10_rerun1_dec1.pt | 44 splines

[INFO] Optimizing splines for rerun=2, decoder=0
  Step 0 | Energy: 46.6841
  Step 100 | Energy: 43.5391
  Step 200 | Energy: 41.0920
  Step 300 | Energy: 39.1132
  Step 400 | Energy: 38.0800
  Step 500 | Energy: 37.4420
  Step 600 | Energy: 37.0513
  Step 700 | Energy: 36.6989
  Step 800 | Energy: 36.4570
  Step 900 | Energy: 36.3201
[OK] Saved: src/artifacts/ensemble/spline_ensemble_optimized_seed12_p10_rerun2_dec0.pt | 45 splines

[INFO] Optimizing splines for rerun=2, decoder=1
  Step 0 | Energy: 46.6090
  Step 100 | Energy: 43.8371
  Step 200 | Energy: 41.7532
  Step 300 | Energy: 40.3805
  Step 400 | Energy: 39.6081
  Step 500 | Energy: 39.0265
  Step 600 | Energy: 38.6364
  Step 700 | Energy: 38.3631
  Step 800 | Energy: 38.1372
  Step 900 | Energy: 37.9611
[OK] Saved: src/artifacts/ensemble/spline_ensemble_optimized_seed12_p10_rerun2_dec1.pt | 45 splines

[INFO] Optimizing splines for rerun=3, decoder=0
  Step 0 | Energy: 31.1032
  Step 100 | Energy: 28.3401
  Step 200 | Energy: 26.1534
  Step 300 | Energy: 24.3168
  Step 400 | Energy: 22.7637
  Step 500 | Energy: 21.7042
  Step 600 | Energy: 21.0510
  Step 700 | Energy: 20.6299
  Step 800 | Energy: 20.3566
  Step 900 | Energy: 20.1680
[OK] Saved: src/artifacts/ensemble/spline_ensemble_optimized_seed12_p10_rerun3_dec0.pt | 45 splines

[INFO] Optimizing splines for rerun=3, decoder=1
  Step 0 | Energy: 37.8493
  Step 100 | Energy: 34.3080
  Step 200 | Energy: 31.4642
  Step 300 | Energy: 29.1235
  Step 400 | Energy: 27.0809
  Step 500 | Energy: 25.7149
  Step 600 | Energy: 24.5211
  Step 700 | Energy: 23.4019
  Step 800 | Energy: 22.6454
  Step 900 | Energy: 22.1598
